Date	Machine	Compiler Flags	Buffer Size	Operation	Columns	DataType	Time	Time/BufSize
13-12-2017 09:30:56	ASUS Laptop		1.5	Multiply	0	int	419123	27941533.33
13-12-2017 09:30:56	ASUS Laptop		2	Sum	400	int	7750	387500
13-12-2017 09:30:56	ASUS Laptop		2	Multiply	0	int	689012	34450600
13-12-2017 09:30:56	ASUS Laptop		2.5	Sum	500	int	9947	397880
13-12-2017 09:30:56	ASUS Laptop		2.5	Multiply	0	int	956104	38244160
13-12-2017 09:30:57	ASUS Laptop		3	Sum	600	int	12481	416033.3333
13-12-2017 09:30:57	ASUS Laptop		3	Multiply	0	int	1265625	42187500
13-12-2017 09:30:57	ASUS Laptop		3.5	Sum	700	int	14479	413685.7143
13-12-2017 09:30:58	ASUS Laptop		3.5	Multiply	0	int	1936634	55332400
13-12-2017 09:30:58	ASUS Laptop		4	Sum	800	int	15875	396875
13-12-2017 09:30:59	ASUS Laptop		4	Multiply	0	int	1974297	49357425
13-12-2017 09:30:59	ASUS Laptop		4.5	Sum	900	int	19462	432488.8889
13-12-2017 09:31:00	ASUS Laptop		4.5	Multiply	0	int	2436546	54145466.67
13-12-2017 09:31:00	ASUS Laptop		5	Sum	1000	int	22023	440460
13-12-2017 09:31:01	ASUS Laptop		5	Multiply	0	int	3235007	64700140
13-12-2017 09:31:02	ASUS Laptop		5.5	Sum	1100	int	24037	437036.3636
13-12-2017 09:31:03	ASUS Laptop		5.5	Multiply	0	int	3379636	61447927.27
13-12-2017 09:31:03	ASUS Laptop		6	Sum	1200	int	24428	407133.3333
13-12-2017 09:31:05	ASUS Laptop		6	Multiply	0	int	3760362	62672700
13-12-2017 09:31:05	ASUS Laptop		6.5	Sum	1300	int	30352	466953.8462
13-12-2017 09:31:06	ASUS Laptop		6.5	Multiply	0	int	4342760	66811692.31
13-12-2017 09:31:07	ASUS Laptop		7	Sum	1400	int	30180	431142.8571
13-12-2017 09:31:09	ASUS Laptop		7	Multiply	0	int	4896134	69944771.43
13-12-2017 09:31:09	ASUS Laptop		7.5	Sum	1500	int	35692	475893.3333
13-12-2017 09:31:11	ASUS Laptop		7.5	Multiply	0	int	5468547	72913960
13-12-2017 09:31:11	ASUS Laptop		8	Sum	1600	int	34732	434150
13-12-2017 09:31:14	ASUS Laptop		8	Multiply	0	int	6235505	77943812.5
13-12-2017 09:31:14	ASUS Laptop		8.5	Sum	1700	int	40367	474905.8824
13-12-2017 09:31:17	ASUS Laptop		8.5	Multiply	0	int	6963383	81922152.94
13-12-2017 09:31:17	ASUS Laptop		9	Sum	1800	int	39461	438455.5556
13-12-2017 09:31:20	ASUS Laptop		9	Multiply	0	int	7554889	83943211.11
13-12-2017 09:31:20	ASUS Laptop		9.5	Sum	1900	int	44738	470926.3158
13-12-2017 09:31:24	ASUS Laptop		9.5	Multiply	0	int	8479316	89255957.89
13-12-2017 09:31:24	ASUS Laptop		10	Sum	2000	int	44276	442760
13-12-2017 09:31:28	ASUS Laptop		10	Multiply	0	int	11545066	115450660
13-12-2017 09:36:58	ASUS Laptop		0.5	Sum	100	int	1657	331400
13-12-2017 09:36:58	ASUS Laptop		0.5	Multiply	0	int	73555	14711000
13-12-2017 09:36:58	ASUS Laptop		1	Sum	200	int	4104	410400
13-12-2017 09:36:58	ASUS Laptop		1	Multiply	0	int	219823	21982300
13-12-2017 09:36:58	ASUS Laptop		1.5	Sum	300	int	5860	390666.6667
13-12-2017 09:36:58	ASUS Laptop		1.5	Multiply	0	int	413136	27542400
13-12-2017 09:36:58	ASUS Laptop		2	Sum	400	int	8284	414200
13-12-2017 09:36:59	ASUS Laptop		2	Multiply	0	int	692058	34602900
13-12-2017 09:36:59	ASUS Laptop		2.5	Sum	500	int	11193	447720
13-12-2017 09:36:59	ASUS Laptop		2.5	Multiply	0	int	963592	38543680
13-12-2017 09:36:59	ASUS Laptop		3	Sum	600	int	12131	404366.6667
13-12-2017 09:37:00	ASUS Laptop		3	Multiply	0	int	1278954	42631800
13-12-2017 09:37:00	ASUS Laptop		3.5	Sum	700	int	15250	435714.2857
13-12-2017 09:37:00	ASUS Laptop		3.5	Multiply	0	int	1935325	55295000
13-12-2017 09:37:01	ASUS Laptop		4	Sum	800	int	16366	409150
13-12-2017 09:37:01	ASUS Laptop		4	Multiply	0	int	1977930	49448250
13-12-2017 09:37:01	ASUS Laptop		4.5	Sum	900	int	19465	432555.5556
13-12-2017 09:37:02	ASUS Laptop		4.5	Multiply	0	int	2482025	55156111.11
13-12-2017 09:37:03	ASUS Laptop		5	Sum	1000	int	21141	422820
13-12-2017 09:37:04	ASUS Laptop		5	Multiply	0	int	3258814	65176280
13-12-2017 09:37:04	ASUS Laptop		5.5	Sum	1100	int	24178	439600
13-12-2017 09:37:05	ASUS Laptop		5.5	Multiply	0	int	3408313	61969327.27
13-12-2017 09:37:06	ASUS Laptop		6	Sum	1200	int	25459	424316.6667
13-12-2017 09:37:07	ASUS Laptop		6	Multiply	0	int	3866896	64448266.67
13-12-2017 09:37:07	ASUS Laptop		6.5	Sum	1300	int	30134	463600
13-12-2017 09:37:09	ASUS Laptop		6.5	Multiply	0	int	4312748	66349969.23
13-12-2017 09:37:09	ASUS Laptop		7	Sum	1400	int	31119	444557.1429
13-12-2017 09:37:11	ASUS Laptop		7	Multiply	0	int	4888306	69832942.86
13-12-2017 09:37:11	ASUS Laptop		7.5	Sum	1500	int	34812	464160
13-12-2017 09:37:13	ASUS Laptop		7.5	Multiply	0	int	5334191	71122546.67
13-12-2017 09:37:14	ASUS Laptop		8	Sum	1600	int	34314	428925
13-12-2017 09:37:16	ASUS Laptop		8	Multiply	0	int	6249507	78118837.5
13-12-2017 09:37:16	ASUS Laptop		8.5	Sum	1700	int	39909	469517.6471
13-12-2017 09:37:19	ASUS Laptop		8.5	Multiply	0	int	7076557	83253611.76
13-12-2017 09:37:19	ASUS Laptop		9	Sum	1800	int	39036	433733.3333
13-12-2017 09:37:22	ASUS Laptop		9	Multiply	0	int	7493808	83264533.33
13-12-2017 09:37:23	ASUS Laptop		9.5	Sum	1900	int	44609	469568.4211
13-12-2017 09:37:26	ASUS Laptop		9.5	Multiply	0	int	8263189	86980936.84
13-12-2017 09:37:26	ASUS Laptop		10	Sum	2000	int	45104	451040
13-12-2017 09:37:31	ASUS Laptop		10	Multiply	0	int	11573932	115739320
13-12-2017 09:42:59	ASUS Laptop		0.5	Sum	100	int	1673	334600
13-12-2017 09:42:59	ASUS Laptop		0.5	Multiply	0	int	82945	16589000
13-12-2017 09:42:59	ASUS Laptop		1	Sum	200	int	4120	412000
13-12-2017 09:42:59	ASUS Laptop		1	Multiply	0	int	220899	22089900
13-12-2017 09:42:59	ASUS Laptop		1.5	Sum	300	int	6037	402466.6667
13-12-2017 09:42:59	ASUS Laptop		1.5	Multiply	0	int	414079	27605266.67
13-12-2017 09:42:59	ASUS Laptop		2	Sum	400	int	7739	386950
13-12-2017 09:42:59	ASUS Laptop		2	Multiply	0	int	689392	34469600
13-12-2017 09:42:59	ASUS Laptop		2.5	Sum	500	int	10550	422000
13-12-2017 09:43:00	ASUS Laptop		2.5	Multiply	0	int	959585	38383400
13-12-2017 09:43:00	ASUS Laptop		3	Sum	600	int	12321	410700
13-12-2017 09:43:00	ASUS Laptop		3	Multiply	0	int	1267555	42251833.33
13-12-2017 09:43:00	ASUS Laptop		3.5	Sum	700	int	15067	430485.7143
13-12-2017 09:43:01	ASUS Laptop		3.5	Multiply	0	int	1958063	55944657.14
13-12-2017 09:43:01	ASUS Laptop		4	Sum	800	int	15854	396350
